map,detail_num,title,lon,lat,map_thumbnail,image_num,caption
1,101,Revere's Shop,-71.053619,42.362386,0101.jpg,0101.jpg,"Paul Revere’s silversmith shop was on Clark’s Wharf, a few blocks away from his North End home. He produced everything from silver spoons to tea sets. Revere also advertised as a dentist, wiring in false teeth (made from animal teeth or walrus ivory) and cleaning teeth. Image courtesy of The Massachusetts Historical Society.
"
1,102,Ropewalks,-71.055163,42.354943,0102.jpg,,"Long, narrow rope-making facilities, known as ropewalks, thrived in 18th-century Boston. Ships, and the industry built around them, relied on a steady supply of rope. Look closely at the map for other kinds of industry in 1769 Boston, from mills to still houses (rum distilleries)."
2,201,Map Cartouche,-70.947535,42.394792,0201.jpg,0201.jpg,"In the decorative cartouche imagery in the top right corner of the map, a Native American watches a struggle between a British supporter (a Tory) and an advocate of American independence. They both want control of a liberty pole to determine the true champion of liberty. On the top of the liberty pole is a Phrygian cap, a symbol of freedom that refers to the caps worn by freed slaves in the Roman Empire. The Tory holds a flag with a lion, representing the British monarchy. The American attached his flag, which depicts Boston’s Liberty Tree, to the liberty pole.
"
2,202,Boston Public Library,-71.078213,42.349339,0202.jpg,,"This is the location of the Boston Public Library today. The library first opened in 1848 and moved to its current Copley Square location in 1895.

"
2,203,Boston's Neck,-71.06893,42.338525,0203.jpg,,"Boston neck was the only land route in and out of Boston at the time of the revolution. During particularly high tides, it was prone to flooding that could temporarily turn the peninsula into an island. The fortification on the map was originally a wooden gate. British forces added an earthenworks fortification in 1774. It was impossible to go into the town on foot except through the fortification, which easily sealed Boston off from the mainland."
2,204,Cambridge Headquarters,-71.120202,42.373814,0204.jpg,,"After being appointed Commander-in-Chief by the Second Continental Congress, George Washington established the headquarters of the colonial forces in Cambridge in July 1775. Washington spent part of his eight months there at the present-day Longfellow House at 105 Brattle Street. The historic site is open to the public and run by the National Park Service."
11,1101,Crispus Attucks,-71.057249,42.358744,1101.jpg,1101.jpg,"Crispus Attucks was killed during the 1770 Boston Massacre and is considered the first American casualty in the Revolutionary War. Attucks was likely an escaped slave, and he may have had Native American, African, and European ancestry. Image of the Old State House in 1793 courtesy of Boston Public Library, Print Department."
11,1102,Coffins of the Victims,-71.056875,42.35903,1102.jpg,1102.jpg,"Engraved by Paul Revere, this print from the Boston Gazette was published on March 12, 1770. It shows four coffins with skull and crossbones as well as the initials of four men who were killed during the Boston Massacre: Samuel Gray, Samuel Maverick, James Caldwell, and Crispus Attucks. "
22,2201,Trade Routes,-69.243762,19.603218,2201.jpg,,"This map demonstrates the triangular trade routes established between Africa, the Caribbean, and the colonies to support a high demand for rum, sugar, and slaves during the 17th and 18th centuries."
22,2202,The London Exchange,-3.407437,53.429397,2202.jpg,2202.jpg,London was the political and economic center of the British Empire. Merchants from throughout the empire gathered in the London Exchange to buy and sell goods. Colonial traders depended on news and prices from the Exchange to sell their goods.
24,2401,Library Stamp,-39.748787,43.571263,2401.jpg,,"The Boston Public Library used this stamp during the late 19th century to claim ownership of its items. An accompanying note indicates that the map “belonged to a lot brought by Dr. Franklin from Europe, and are hereby given to this Library by Dr. Thomas Hewson Backe,” the great grandson of Benjamin Franklin.
"
24,2402,Benjamin Franklin in Paris,-40.935332,33.680767,2402.jpg,2402.jpg,"The Gulf Stream was initially charted by Benjamin Franklin in 1768. Franklin purchased this chart, a French adaptation of his original findings, when he served in Paris as a diplomat from 1776 through 1785. French artist Joseph-Siffred Duplessis painted this portrait during his stay.  Image courtesy of Boston Public Library, Print Department."
26,2601,Royals Bay,-61.815607,17.167149,2601.jpg,,"The Royall family owned a sugar plantation in modern day Royals Bay on the northern shore of Antigua that supported their estate in Medford, Massachusetts. They owned slaves who performed the arduous work of growing sugar cane."
26,2602,Sugar Plantations,-61.876018,17.068125,2602.jpg,,"Slaves worked on sugar plantations that thrived on Caribbean Islands like Antigua. European nations colonized the islands to produce the profitable commodity during the 17th and 18th centuries. The rise of these plantations made sugar available to the masses, rather than just elites. "
27,2701,Royall House,-71.111851,42.410446,2701.jpg,2701.jpg,"Isaac Royall, Sr. constructed separate quarters for the twenty-seven enslaved Africans his family brought with them Antigua. These slave quarters are the last standing in New England and are open to visitors. Image of courtesy of Boston Public Library, Print Department."
27,2702,Tufts University,-71.119552,42.407367,2702.jpg,,"Boston businessman Charles Tufts gifted land to Tufts University, which was officially chartered in 1852. Tufts University is located on one of the highest hills in the Boston area: Medford’s Walnut Hill."
29,2901,Rock Salt,-8.732736,22.151126,2901.jpg,,"A note describes East Taguza, the main salt-mining center of the Western Sahara located in present-day Mali. The site was an important source of rock salt for West Africa, and the industry was vital to trans-Saharan trade in the late 16th century."
29,2902,Trade Competition,-21.624471,18.815057,2902.jpg,,"This note says: “The French had excluded the English from the Trade of this Coast to which they had a right.” Maps may not seem political, but this note reveals the competition among European powers. They wanted to gain control of the African coast, where traders sought gold, slaves, and other commodities."
29,2903,Phillis Wheatley,-16.413608,16.122303,2903.jpg,,"Phillis Wheatley, the first published African-American poet, is believed to have come from the area of modern Senegal in Western Africa. She was captured and enslaved around the age of 7. She arrived in Boston on the Phillis, the slave ship after which she was named.
"
32,3201,Map Cartouche,-55.681563,33.594673,3201.jpg,3201.jpg,"This cartouche in the bottom right features allegorical images of the commercial productivity of Britain’s North American empire. On the left is a coastal settlement. Barrels, possibly filled with molasses or tobacco, wait to be loaded onto the ship in the background. The title is framed by a palm tree and stalks of maize or corn, with a draped fishing net and beaver at the bottom. Two Native American figures, who represent America, wear headdresses and gaze upward at the title. The title is crowned by the royal crest and British flag, which signifies America’s dependence on Britain for protection and leadership."
32,3202,Mohawks,-73.432171,43.907179,3202.jpg,,"Mitchell’s map labels the colonies, but it also identifies the lands occupied by Native American tribes like the Mohawks. The map depicts the intermingling of colonists and Native Americans, who formed alliances with both sides during the Revolutionary War."
34,3401,Map Cartouche,-72.907541,39.419503,3401.jpg,3401.jpg,"The cartouche in the bottom right corner depicts a bucolic Hudson River scene. Small hills flank both sides of the river, where sailboats skim the water. Shrubs and trees dot the landscape on the banks of the Hudson. The compass rose symbolizes the sun, which shines over the lush landscape. The cartouche represents this region as an idyllic countryside.
"
34,3402,New York City,-73.983042,40.751446,3402.jpg,,"This map shows what New York City and the surrounding area looked like during the British occupation of the city during the Revolutionary War. New York was a significant port city during the colonial period, and an important stronghold for the British. An inset in the top left corner of the map offers a close-up view of the city.
"
35,3501,Map Cartouche,-74.779043,36.416856,3501.jpg,3501.jpg,"In the bottom right, the finely engraved cartouche by artist Francis Hayman depicts a dock scene. British merchant ships wait in the harbor for colonial goods to be loaded onto them. Three wealthy men, likely Virginia plantation owners, gather. One negotiates with a ship captain. Four enslaved Africans perform tasks; one serves wine to a planter, while three others prepare to load tobacco hogsheads on the awaiting ship. Virginia’s most important commodity was tobacco, and the colony’s economy was built upon slave labor. This scene shows the wealth and oppression in the colonies created by promise of profits from the tobacco trade."
35,3502,Future Site of the Capital,-77.053182,38.894861,3502.jpg,,"This area at the confluence of the Potomac and Anacostia (Eastern Branch) Rivers later became the site of Washington, DC. During the early years of the republic, Thomas Jefferson and his supporters agreed the nation would take on state debts incurred during the Revolutionary War in exchange for a mid-Atlantic capital site selected by George Washington. The District of Columbia is near Washington's hometown of Alexandria and his Mount Vernon Estate (labeled as “Washington” adjacent to Little Hunting Creek). "
38,3801,Map Cartouche,-78.75741,31.544068,3801.jpg,3801.jpg,"The cartouche in the bottom right depicts enslaved Africans making indigo, an export on which the South Carolina’s colonial economy was built. Indigo was used to make blue dye for clothing. Since blue was the most popular clothing color of the eighteenth century, indigo was a valuable commodity. Beneath two large palm trees, male slaves perform tasks on a plantation to prepare the indigo for sale. Nearby are plants, fruits, and vegetables that represent the area’s agriculture.
"
